Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method
Male,Young Adults,Yes,>=3,1,35,No Offer,Yes,13.67,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Male,Young Adults,Yes,2,9,7,Offer E,No,0.0,No,Cable,47.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card
Male,Young Adults,Yes,1,1,72,No Offer,Yes,22.78,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,1,57,No Offer,Yes,40.13,Yes,Fiber Optic,25.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card
Male,Young Adults,No,0,0,13,Offer D,Yes,33.95,No,DSL,59.0,No,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card
Female,Young Adults,No,0,0,8,No Offer,Yes,5.27,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal
Male,Old Adults,No,0,0,24,No Offer,Yes,28.98,Yes,Fiber Optic,30.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,63,Offer B,Yes,27.38,No,DSL,9.0,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card
Female,Old Adults,No,0,0,25,No Offer,Yes,36.5,Yes,Fiber Optic,30.0,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card
Male,Old Adults,Yes,0,1,15,No Offer,Yes,40.7,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,21,No Offer,Yes,24.86,Yes,Fiber Optic,48.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card
Male,Middle-aged Adults,Yes,0,3,14,No Offer,Yes,22.14,Yes,DSL,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Middle-aged Adults,Yes,>=3,6,30,No Offer,Yes,40.0,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Old Adults,Yes,0,1,20,No Offer,Yes,32.54,No,Fiber Optic,5.0,Yes,No,Yes,Yes,No,Yes,No,Yes,One Year,No,Credit Card
Female,Old Adults,No,0,0,41,No Offer,Yes,12.42,No,Cable,12.0,No,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal
Male,Old Adults,Yes,0,1,16,No Offer,Yes,15.44,No,Fiber Optic,20.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,5,50,Offer B,Yes,9.47,Yes,DSL,28.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal
Female,Old Adults,Yes,0,9,60,Offer B,Yes,48.9,No,Cable,16.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card
Male,Young Adults,No,0,0,61,Offer B,Yes,42.4,Yes,Fiber Optic,71.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Female,Old Adults,No,0,0,55,No Offer,Yes,37.38,Yes,Fiber Optic,7.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal
Male,Young Adults,No,>=3,0,14,No Offer,Yes,36.73,No,Cable,52.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
Male,Young Adults,Yes,0,1,49,No Offer,Yes,46.94,Yes,Fiber Optic,73.0,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal
Male,Old Adults,No,1,0,11,No Offer,Yes,11.86,No,Cable,23.0,No,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal
Male,Old Adults,Yes,1,3,1,No Offer,Yes,8.38,No,DSL,19.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Young Adults,Yes,1,2,50,No Offer,Yes,36.21,No,Fiber Optic,22.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,16,No Offer,Yes,14.26,No,DSL,53.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,2,3,57,No Offer,Yes,12.26,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,44,Offer B,Yes,1.7,No,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card
Male,Old Adults,No,0,0,67,No Offer,Yes,38.85,Yes,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card
Female,Old Adults,Yes,0,1,37,No Offer,Yes,30.36,Yes,DSL,11.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card
Male,Old Adults,Yes,0,1,1,No Offer,Yes,17.36,Yes,Fiber Optic,29.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Male,Old Adults,No,0,0,65,No Offer,Yes,4.4,Yes,Fiber Optic,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Male,Old Adults,Yes,0,7,72,No Offer,Yes,11.23,Yes,Fiber Optic,20.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card
Male,Old Adults,Yes,0,1,9,No Offer,Yes,1.66,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card
Male,Middle-aged Adults,Yes,0,1,70,No Offer,No,0.0,No,DSL,18.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card
Male,Middle-aged Adults,Yes,1,1,13,No Offer,Yes,13.32,No,DSL,21.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Female,Young Adults,No,0,0,23,Offer D,Yes,10.41,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card
Female,Young Adults,Yes,2,2,72,No Offer,Yes,16.01,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
Male,Middle-aged Adults,Yes,1,4,20,No Offer,Yes,3.87,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Middle-aged Adults,No,0,0,17,No Offer,Yes,7.66,No,Fiber Optic,17.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,4,Offer E,Yes,34.69,No,DSL,47.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Old Adults,No,0,0,33,Offer C,Yes,17.24,Yes,Fiber Optic,25.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,Yes,0,9,66,Offer A,Yes,45.03,No,None,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,5,15,No Offer,Yes,14.27,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Young Adults,Yes,1,5,45,No Offer,Yes,37.57,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Female,Middle-aged Adults,No,0,0,9,Offer E,No,0.0,No,DSL,21.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,No,0,0,1,Offer E,Yes,44.11,No,Fiber Optic,69.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,Yes,>=3,0,70,No Offer,Yes,1.22,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Young Adults,No,0,0,13,Offer D,Yes,38.4,Yes,DSL,23.0,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,Yes,>=3,9,72,No Offer,Yes,33.39,Yes,Fiber Optic,52.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Credit Card
Female,Middle-aged Adults,No,0,0,1,Offer E,No,0.0,No,DSL,27.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,9,No Offer,Yes,30.8,No,Fiber Optic,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,1,No Offer,Yes,26.14,No,DSL,22.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,62,No Offer,Yes,33.68,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Female,Young Adults,No,0,0,31,Offer C,Yes,24.21,Yes,Fiber Optic,48.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Male,Middle-aged Adults,No,0,0,25,Offer C,Yes,17.3,No,Fiber Optic,26.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,No,0,0,2,Offer E,Yes,33.89,No,Fiber Optic,41.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,22,Offer D,Yes,22.97,Yes,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card
Female,Middle-aged Adults,No,0,0,68,Offer A,Yes,17.41,No,Cable,27.0,Yes,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card
Female,Middle-aged Adults,No,0,0,3,No Offer,Yes,25.96,No,DSL,7.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Middle-aged Adults,Yes,0,1,12,No Offer,No,0.0,No,DSL,27.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check
Male,Middle-aged Adults,No,0,0,40,No Offer,Yes,36.98,No,DSL,21.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card
Female,Old Adults,No,0,0,66,Offer A,Yes,36.48,Yes,DSL,5.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card
Female,Old Adults,Yes,0,1,53,No Offer,Yes,47.64,No,Fiber Optic,25.0,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,9,70,Offer A,Yes,41.05,No,Fiber Optic,59.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card
Female,Middle-aged Adults,Yes,0,9,41,Offer B,Yes,8.44,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Young Adults,Yes,0,>=10,25,No Offer,Yes,2.34,No,DSL,73.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card
Female,Middle-aged Adults,Yes,0,9,56,Offer B,Yes,37.76,Yes,Fiber Optic,21.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal
Female,Young Adults,Yes,1,>=10,18,Offer D,Yes,35.44,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card
Female,Middle-aged Adults,Yes,1,7,65,No Offer,Yes,2.95,Yes,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Female,Middle-aged Adults,Yes,0,2,68,No Offer,Yes,27.41,Yes,DSL,9.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card
Male,Old Adults,No,0,0,13,No Offer,Yes,49.9,No,DSL,30.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,18,Offer D,Yes,2.26,Yes,Fiber Optic,73.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
Female,Young Adults,Yes,2,1,17,Offer D,Yes,18.26,Yes,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
Male,Middle-aged Adults,No,0,0,4,No Offer,Yes,23.04,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Young Adults,Yes,2,1,65,Offer B,Yes,45.21,Yes,Fiber Optic,19.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
Female,Old Adults,Yes,0,1,56,No Offer,Yes,33.81,Yes,Cable,29.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,49,Offer B,Yes,45.46,Yes,Fiber Optic,27.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Female,Old Adults,Yes,0,1,65,No Offer,Yes,18.69,Yes,Fiber Optic,30.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,2,1,41,Offer B,No,0.0,No,Cable,16.0,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card
Male,Middle-aged Adults,Yes,>=3,0,66,Offer A,Yes,29.5,No,DSL,76.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,62,No Offer,Yes,24.03,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Male,Old Adults,Yes,0,1,46,No Offer,No,0.0,No,DSL,15.0,No,Yes,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal
Female,Old Adults,Yes,0,7,66,Offer A,Yes,25.51,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Credit Card
Female,Middle-aged Adults,Yes,2,5,62,No Offer,Yes,42.05,No,DSL,20.0,Yes,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,49,Offer B,Yes,6.26,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Female,Young Adults,Yes,0,2,55,Offer B,Yes,5.08,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,8,72,Offer A,Yes,35.06,No,DSL,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card
Male,Old Adults,No,0,0,20,Offer D,Yes,48.46,No,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal
Male,Young Adults,No,0,0,60,Offer B,Yes,42.88,Yes,Fiber Optic,52.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,68,No Offer,No,0.0,No,DSL,58.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,43,Offer B,Yes,39.37,Yes,Fiber Optic,23.0,No,No,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal
Female,Middle-aged Adults,No,0,0,15,No Offer,Yes,9.74,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Female,Middle-aged Adults,Yes,0,4,51,Offer B,Yes,47.18,No,Cable,12.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,1,67,No Offer,Yes,35.03,Yes,Fiber Optic,23.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal
Female,Old Adults,No,0,0,30,No Offer,No,0.0,No,Cable,7.0,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,Yes,1,1,72,Offer A,Yes,23.7,Yes,Fiber Optic,59.0,No,No,Yes,No,No,Yes,Yes,No,Two Year,Yes,Credit Card
Female,Old Adults,No,0,0,5,No Offer,Yes,41.93,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card
Male,Middle-aged Adults,Yes,0,1,54,No Offer,Yes,35.46,Yes,Fiber Optic,23.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Female,Young Adults,Yes,1,2,72,No Offer,Yes,45.66,Yes,DSL,47.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card
Male,Middle-aged Adults,No,0,0,29,No Offer,Yes,49.92,Yes,Fiber Optic,23.0,No,Yes,Yes,Yes,No,Yes,Yes,No,One Year,No,Credit Card
Male,Young Adults,Yes,2,5,16,Offer D,Yes,9.16,Yes,DSL,59.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal
Male,Young Adults,Yes,0,1,66,No Offer,No,0.0,No,DSL,29.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal
Female,Old Adults,No,0,0,13,No Offer,Yes,40.37,No,Fiber Optic,21.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Middle-aged Adults,No,0,0,48,No Offer,Yes,9.91,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,9,16,No Offer,Yes,23.31,No,DSL,27.0,Yes,No,Yes,No,Yes,No,No,Yes,Two Year,No,Credit Card
Male,Old Adults,No,0,0,64,No Offer,Yes,4.99,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal
Female,Young Adults,Yes,0,1,3,Offer E,Yes,48.38,No,Fiber Optic,14.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
Male,Young Adults,No,0,0,53,Offer B,Yes,24.17,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card
Male,Old Adults,No,0,0,17,No Offer,Yes,17.26,No,Fiber Optic,25.0,No,Yes,Yes,No,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal
Male,Young Adults,Yes,0,1,1,No Offer,Yes,43.67,No,Fiber Optic,73.0,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal
Female,Old Adults,Yes,>=3,9,71,No Offer,Yes,45.81,Yes,DSL,52.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card
Female,Middle-aged Adults,Yes,0,9,69,Offer A,Yes,24.17,No,Fiber Optic,5.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card
Male,Old Adults,Yes,0,7,69,No Offer,No,0.0,No,DSL,13.0,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card
Female,Old Adults,Yes,0,1,43,Offer B,No,0.0,No,DSL,21.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card
Female,Middle-aged Adults,Yes,2,1,46,Offer B,Yes,24.33,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card
Male,Middle-aged Adults,No,0,0,32,Offer C,Yes,41.52,No,None,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card
Male,Old Adults,Yes,0,1,48,No Offer,Yes,25.19,Yes,Fiber Optic,22.0,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card
